Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,External Link,Thumbnail,short description,long description,Category,Resource Type
Black Family Table Talk,black-family-table-talk,5ee2e19f496d2260820fd718,5ee2e838add9ef83c5b71fc2,Fri Jun 12 2020 02:28:08 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:30:39 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://blackfamilytabletalk.com,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b76f3efc1316ee6ef01_black%20family%20table%20talk.jpg,"Listen in weekly as we discover and share stories, life lessons, and new ways to build a strong black family.","<p>After 30 years of marriage and raising four children, we struggled to stay married and encourage our children to thrive. We want to share what worked for us and what didn't. It is our hope and prayer that by sharing our parenting and marriage story (along with those of others), you will save time, pain, hardship, and most importantly, become inspired. The Black Family Table Talk is a ""kitchen table style"" podcast and blog created to candidly share and discover ways to build the Black family, the foundation of the community. We want to engage and challenge you to join us each week as we explore:How to invigorate Black love with healthy relationship goals.Parenting and the Black family.Voting rights and strengthening the Black community. Black economics and wealth-building.     Join our determined community as we take this journey together. We aim to strengthen our families, put an end to the cycles of dysfunction, and explore ways to become #BlackFamilyStrong.</p>",Resource,Podcasts
Ask a Black Woman,ask-a-black-woman,5ee2e19f496d2260820fd718,5ee2e8385a0fa8cd66897910,Fri Jun 12 2020 02:28:08 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:23:15 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://podcasts.apple.com/us/podcast/ask-a-black-woman/id1349812182,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b809f82302a80db90f3_ask%20a%20black%20woman%20icon.jpg,This is where you Ask A Black Woman anything but... You betta be ready for a real answer!,<p>This is where you Ask A Black Woman anything but... You betta be ready for a real answer!</p>,Resource,Podcasts
Friends Like Us,friends-like-us,5ee2e19f496d2260820fd718,5ee2e8375a0fa8140689790f,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:23:27 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://podtail.com/podcast/friendslikeus/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b8dc1a7f016ffb219a4_friends%20like%20us%20icon.jpg,A podcast featuring women of color with different views on topics hosted by Marina Franklin.,<p>A podcast featuring women of color with different views on topics hosted by Marina Franklin.</p>,Resource,Podcasts
In Black America,in-black-america,5ee2e19f496d2260820fd718,5ee2e8371c268c55f058be9b,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:31:33 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.npr.org/podcasts/381443555/in-black-america,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50b9f7233d06c1a3d5102_in%20black%20america%20icon.jpg,"Produced at KUT, In Black America is a long-running, nationally syndicated program dedicated to all facets of the African American experience.","<p>Produced at KUT, In Black America is a long-running, nationally syndicated program dedicated to all facets of the African American experience. John Hanson profiles a diverse selection of current and historically significant figures whose stories help illuminate life in Black America. Guests include civil rights leaders, educators, artists, athletes and writers describing their experiences, achievements and work in chronicling and advancing the quality of African American life.</p>",Resource,Podcasts
The Gifted Connection,the-gifted-connection,5ee2e19f496d2260820fd718,5ee2e837d2f436515ebc05d9,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:31:51 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://anchor.fm/nathan-mcclinton,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50ba892b8eb012f1532a4_the%20gifted%20connection%20icon.jpg,Nathan McClinton is a Millennial Inspirational Enthusiast committed to helping you shatter your untapped potential and live out your dreams!,"<p>Nathan McClinton is a Millennial Inspirational Enthusiast committed to helping you shatter your untapped potential and live out your dreams!The Gifted Connection is your safe place to live, learn, grow, and BECOME your best self! Join me, as I help you to live out your full potential through the expression of your God given Gift! Your Gift is about to Make ROOM for you. The question is...are you ready?</p>",Resource,Podcasts
The New Black Panther Party,the-new-black-panther-party,5ee2e19f496d2260820fd718,5ee2e83701e58116181002bd,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:24:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.stitcher.com/podcast/blogtalkradio/the-new-black-panther-party,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50bb57c8944006e43fb7c_the%20black%20panther%20party%20icon.jpg,THE OFFICIAL BLOG TALK RADIO SHOW FOR THE NEW BLACK PANTHER PARTY. BLACK POWER ! ALL POWER TO THE PEOPLE !,<p>THE OFFICIAL BLOG TALK RADIO SHOW FOR THE NEW BLACK PANTHER PARTY. BLACK POWER ! ALL POWER TO THE PEOPLE !</p>,Resource,Podcasts
The Nod,the-nod,5ee2e19f496d2260820fd718,5ee2e837e473414f18bd8518,Fri Jun 12 2020 02:28:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:29:17 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://gimletmedia.com/shows/the-nod,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50bc17b6fbc0b2c89cf70_the%20nod%20icon.jpeg,"Brittany Luse and Eric Eddings gleefully explore all the beautiful, complicated dimensions of Black life.","<p>The Nod tells the stories of Black life that don’t get told anywhere else. Our show ranges from an explanation of purple drink’s association with Black culture to the story of an interracial drag troupe that traveled the nation in the 1940s. We celebrate the genius, the innovation, and the resilience that is so particular to being Black — in America, and around the world.</p>",Resource,Podcasts
The Friend Zone,the-friend-zone,5ee2e19f496d2260820fd718,5ee2e8369d2c572ee4a916bf,Fri Jun 12 2020 02:28:06 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:32:06 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://soundcloud.com/thefriendzonepodcast,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50bcc18269a03d03db374_the%20friend%20zone%20icon.jpg,"Explore mental health, mental wealth and mental hygiene.","<p>Listen along every Wednesday as Dustin Ross, HeyFranHey &amp; Assante explore mental health, mental wealth and mental hygiene, because who in the hell wants a musty brain?</p>",Resource,Podcasts
Seeing White,seeing-white,5ee2e19f496d2260820fd718,5ee2e83619ecaad71f09974c,Fri Jun 12 2020 02:28:06 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:33:01 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.sceneonradio.org/seeing-white/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50dc7a104da9a1fe0d2ca_seeing%20white.png,Just what is going on with white people? Why? Scene on Radio host and producer John Biewen took a deep dive into these questions.,"<p>Just what is going on with white people? Police shootings of unarmed African Americans. Acts of domestic terrorism by white supremacists. The renewed embrace of raw, undisguised white-identity politics. Unending racial inequity in schools, housing, criminal justice, and hiring. Some of this feels new, but in truth it’s an old story.Why? Where did the notion of “whiteness” come from? What does it mean? What is whiteness for?Scene on Radio host and producer John Biewen took a deep dive into these questions, along with an array of leading scholars and regular guest Dr. Chenjerai Kumanyika, in this fourteen-part documentary series, released between February and August 2017. The series editor is Loretta Williams.</p>",Education,Podcasts
Pod Save the People (Crooked Media),pod-save-the-people-crooked-media,5ee2e19f496d2260820fd718,5ee2e8369d2c574932a916be,Fri Jun 12 2020 02:28:06 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:25:03 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://crooked.com/podcast-series/pod-save-the-people/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50beda21f7b2c741c3a61_pod%20save%20the%20people%20icon.jpg,"On Pod Save the People, experts, influencers, and diverse local and national leaders who come on the show go deep on social, political, and cultural issues.On Pod Save the People,","<p>On Pod Save the People, organizer and activist DeRay Mckesson explores news, culture, social justice, and politics with fellow activists Brittany Packnett Cunningham and Sam Sinyangwe, and writer Dr. Clint Smith. They offer a unique take on the news, with a special focus on overlooked stories and topics that often impact people of color. There’s also a weekly one-on-one interview with DeRay and special guests, from singer/songwriter John Legend to Speaker of the House Nancy Pelosi. The experts, influencers, and diverse local and national leaders who come on the show go deep on social, political, and cultural issues. New episodes every Tuesday.</p>",Education,Podcasts
Pod For The Cause (from The Leadership Conference on Civil & Human Rights),pod-for-the-cause-from-the-leadership-conference-on-civil-human-rights,5ee2e19f496d2260820fd718,5ee2e8363b11781cc9ce6bd7,Fri Jun 12 2020 02:28:06 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:25:14 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://civilrights.org/podforthecause/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50bf9ed4e85d9417d22e6_pod%20for%20the%20cause%20icon.png,"This podcast was created for those of you wanting to effect change, who understand the importance of restoring our democracy and want to engage in deep conversation around the issues.","<p>We’ve joined the airwaves to help spark conversation and activism on some of the most critical issues of today.From the courts to immigration, we’re seeing unprecedented attacks on the values we hold near and dear. At Pod for the Cause, we’re going to tackle these issues and more. Our friends in the movement will be stopping by to have these conversations, and they promise to be real, straightforward and honest.This podcast was created for those of you wanting to effect change, who understand the importance of restoring our democracy and want to engage in deep conversation around the issues.</p>",Education,Podcasts
Momentum: A Race Forward Podcast,momentum-a-race-forward-podcast,5ee2e19f496d2260820fd718,5ee2e836eb48482fdd145e37,Fri Jun 12 2020 02:28:06 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:25:26 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.raceforward.org/media/podcast/momentum-race-forward-podcast,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50c04ebf1ac9b976af213_RaceForward_Podcast_Momentum_Graphic9_vh_0.jpg,"""Momentum: A Race Forward Podcast"" features movement voices, stories, and strategies for racial justice.","<p>Momentum: A Race Forward Podcast features movement voices, stories, and strategies for racial justice. Co-hosts Chevon and Hiba give their unique takes on race and pop culture, and uplift narratives of hope, struggle, and joy, as we continue to build the momentum needed to advance racial justice in our policies, institutions, and culture. Build on your racial justice lens and get inspired to drive action by learning from organizational leaders and community activists.</p>",Education,Podcasts
Intersectionality Matters! hosted by Kimberlé Crenshaw,intersectionality-matters-hosted-by-kimberle-crenshaw,5ee2e19f496d2260820fd718,5ee2e835e473417b7fbd8517,Fri Jun 12 2020 02:28:05 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:26:10 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://podcasts.apple.com/us/podcast/intersectionality-matters/id1441348908,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50c2c7da456222b62e3e0_intersectionality%20matters%20icon.jpg,The podcast that brings intersectionality to life,"<p>Intersectionality Matters! is a podcast hosted by Kimberlé Crenshaw, an American civil rights advocate and a leading scholar of critical race theory.</p>",Education,Podcasts
Code Switch (NPR),code-switch-npr,5ee2e19f496d2260820fd718,5ee2e835add9ef0036b71fc1,Fri Jun 12 2020 02:28:05 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:33:26 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.npr.org/sections/codeswitch/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50c5c474110e5a231ff2f_npr%20codeswitch%20icon.jpg,"We're a multi-racial, multi-generational team of journalists fascinated by the overlapping themes of race, ethnicity and culture.","<p>Remember when folks used to talk about being ""post-racial""? Well, we're definitely not that. We're a multi-racial, multi-generational team of journalists fascinated by the overlapping themes of race, ethnicity and culture, how they play out in our lives and communities, and how all of this is shifting.</p>",Education,Podcasts
About Race,about-race,5ee2e19f496d2260820fd718,5ee2e835bad6470ee8504fa5,Fri Jun 12 2020 02:28:05 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:33:55 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.showaboutrace.com/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50c69ed4e85b1fb7d2333_square-about-race-squarespace.jpg,"Co-discussants host a lively multiracial, interracial conversation about the ways we talk about culture, identity, politics, power, and privilege in America.","<p>Co-discussants Anna Holmes, Baratunde Thurston, Raquel Cepeda and Tanner Colby host a lively multiracial, interracial conversation about the ways we can’t talk, don’t talk, would rather not talk, but intermittently, fitfully, embarrassingly do talk about culture, identity, politics, power, and privilege in our pre-post-yet-still-very-racial America. This show is ""About Race.""</p>",Education,Podcasts
1619 (New York Times),1619-new-york-times,5ee2e19f496d2260820fd718,5ee2e8359437ea433cc27ce2,Fri Jun 12 2020 02:28:05 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:34:06 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.nytimes.com/2020/01/23/podcasts/1619-podcast.html,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50c77fe6691108352ab7a_1619-album-art-superJumbo.jpg,"“1619” is a New York Times audio series, hosted by Nikole Hannah-Jones, that examines the long shadow of American slavery.","<p>Four hundred years ago, in August 1619, a ship carrying more than 20 enslaved Africans arrived in the English colony of Virginia. No aspect of the country that would be formed here has been untouched by the 250 years of slavery that followed.“1619,” a New York Times audio series hosted by Nikole Hannah-Jones, examines the long shadow of that fateful moment.</p>",Education,Podcasts
Raising Free People,raising-free-people,5ee2e19f496d2260820fd718,5ee2e8349d2c57516ca916bd,Fri Jun 12 2020 02:28:04 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:37:07 GMT+0000 (Coordinated Universal Time),Sat Jun 13 2020 17:53:49 GMT+0000 (Coordinated Universal Time),https://www.raisingfreepeople.com/podcast/,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50ec01f082171e4c08248_Raising%20Free%20people.jpg,"Fare of the Free Child is a weekly-published podcast community centering Black people, Indigenous people, and People of Color in liberatory living and learning practices.","<p>Fare of the Free Child is a weekly-published podcast community centering Black people, Indigenous people, and People of Color in liberatory living and learning practices. With a particular interest in unschooling and the Self-Directed Education movement, Akilah S. Richards and guests discuss the fears and the fares (costs) of raising free black and brown children in a world that tends to diminish, dehumanize, and disappear them.</p>",Education,Podcasts
Parenting Forward,parenting-forward,5ee2e19f496d2260820fd718,5ee2e834add9efbe28b71fc0,Fri Jun 12 2020 02:28:04 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:05:44 GMT+0000 (Coordinated Universal Time),Sun Jun 14 2020 18:06:27 GMT+0000 (Coordinated Universal Time),https://podcasts.apple.com/us/podcast/parenting-forward/id1403686245?i=1000474951309,https://uploads-ssl.webflow.com/5edfdc4615dbd34ff38974f4/5ee50eeabc35f75056c826a6_parenting%20forward.jpg,Cindy Wang Brandt is a mother and progressive Christian writer who is on a mission to support the journeys of parents interested in Parenting Forward with progressive values.,"<p>Cindy Wang Brandt is a mother and progressive Christian writer who is on a mission to support the journeys of parents interested in Parenting Forward with progressive values. She's an author, blogger, community leader, coach, and live and online education provider for parents who are committed to raising their kids in a faith that isn't hierarchical, controlling and fundamentalist and want to see their children desire mercy and not sacrifice, to grow up walking in the ways of Jesus for peace, righteousness, and wholeness! The Parenting Forward podcast features interviews with authors and thought leaders from progressive faith spaces, monthly listener question shows, and practical strategies for parents, grandparents, and anyone who loves children and wants to commit to treating children with justice. We believe that if we change the way we parent, we can change the world!</p>",Education,Podcasts
